frag,score,size
[1*]NC(=O)N1CCOCC1,0.8661479169267243,10
[1*]NC(=O)c1ccccc1F,0.8624887946272666,11
[1*]c1cc(C(=O)N(C)C)ccc1N(C)C,0.8579811412925834,15
[1*]c1ccc(F)c(O)c1,0.8504294886756067,9
[1*]c1ccc2c(c1)N(C(C)=O)CCC2,0.8469952220921474,14
[1*]c1ccc(C(=O)N2CCCC2)cc1C,0.8457339549264894,15
[1*]c1cnc(OC)nc1C,0.8401308636352425,10
[1*]C1CCN(C(=O)Cc2ccccc2)CC1,0.8400621049408052,16
[1*]c1ccc(C(=O)N(C)C)cc1OC,0.8359152238439509,14
[1*]N1CCN(C(=O)Cc2cccs2)CC1,0.8354821118014075,15
[1*]c1ccc(Sc2ccc(C)cc2)nc1,0.8331249471236587,15
[1*]C1CCN(c2nc(C)cc(C)n2)CC1,0.8306764533755974,15
[1*]C(=O)c1cccc(CC)c1O,0.8283571152099903,12
[1*]C(=O)c1cc(F)ccc1O,0.8280748927612133,11
[1*]c1nc(CC(=O)N2CCCC2)cs1,0.8276321633348264,14
[1*]N1CCN(C(=O)Nc2ccc(F)cc2)CC1,0.8273328994738419,17
[1*]c1cc(C(=O)N2CCOCC2)ccc1OC,0.8272894294563032,17
[1*]c1ccc(C(=O)N2CCN(C(C)=O)CC2)cc1,0.8269176694549136,18
[1*]c1noc(CCC(=O)NC(C)C)n1,0.825240339963595,14
[1*]c1ccc(S(N)(=O)=O)cn1,0.8247679556395106,11
[1*]OC(C)(C)C(=O)N[1*],0.8234134270693877,9
[1*]c1ccc(C(=O)N2CCC(C)CC2)cn1,0.8233477498742783,16
[1*]c1cccc(N(C)S(C)(=O)=O)c1,0.8212863876028317,13
[1*]C(=O)c1ccc(O)c(C)c1,0.8211957379803061,11
[1*]n1cnc2c(c1=O)CCCC2,0.8210521736274631,12
[1*]c1ccc2c(c1)CCCN2C(=O)C1CC1,0.8202202048555226,16
[1*]c1cc(CC(=O)NC(C)(C)C)no1,0.8198510945827381,14
[1*]c1cc(S(=O)(=O)N(C)C)c(C)s1,0.8197738405181009,13
[1*]c1ccc2c(c1)CN(C(C)=O)CC2,0.8193992372541098,14
[1*]c1cc(C)ccc1N1CCCC1=O,0.8188610891412026,14
[1*]c1ccc(C(N)=O)cc1OCC,0.8180953152603713,13
